"","Pos","Driver","Nationality","Car","Pts","year"
"1",1,"Nino
                    Farina
                    FAR","ITA","Alfa Romeo","30",1950
"2",2,"Juan Manuel
                    Fangio
                    FAN","ARG","Alfa Romeo","27",1950
"3",3,"Luigi
                    Fagioli
                    FAG","ITA","Alfa Romeo","24",1950
"4",4,"Louis 
                    Rosier
                    ROS","FRA","Talbot-Lago","13",1950
"5",5,"Alberto
                    Ascari
                    ASC","ITA","Ferrari","11",1950
"6",6,"Johnnie 
                    Parsons
                    PAR","USA","Kurtis Kraft Offenhauser","9",1950
"7",7,"Bill
                    Holland
                    HOL","USA","Deidt Offenhauser","6",1950
"8",8,"Prince
                    Bira
                    BIR","THA","Maserati","5",1950
"9",9,"Reg 
                    Parnell
                    PAR","GBR","Maserati","4",1950
"10",9,"Louis 
                    Chiron
                    CHI","MON","Maserati","4",1950
"11",9,"Mauri 
                    Rose
                    ROS","USA","Deidt Offenhauser","4",1950
"12",9,"Peter 
                    Whitehead
                    WHI","GBR","Ferrari","4",1950
"13",13,"Yves Giraud
                    Cabantous
                    CAB","FRA","Talbot-Lago","3",1950
"14",13,"Raymond 
                    Sommer
                    SOM","FRA","Talbot-Lago","3",1950
"15",13,"Cecil 
                    Green
                    GRE","USA","Kurtis Kraft Offenhauser","3",1950
"16",13,"Robert 
                    Manzon
                    MAN","FRA","Simca-Gordini","3",1950
"17",13,"Dorino 
                    Serafini
                    SER","ITA","null","3",1950
"18",13,"Philippe 
                    Etancelin
                    ETA","FRA","null","3",1950
"19",19,"Felice 
                    Bonetto
                    BON","ITA","Maserati Milano","2",1950
"20",20,"Tony 
                    Bettenhausen
                    BET","USA","Deidt Offenhauser","1",1950
"21",20,"Joie 
                    Chitwood
                    CHI","USA","Kurtis Kraft Offenhauser","1",1950
"22",20,"Eugene 
                    Chaboud
                    CHA","FRA","null","1",1950
"23",1,"Juan Manuel
                    Fangio
                    FAN","ARG","Alfa Romeo","31",1951
"24",2,"Alberto
                    Ascari
                    ASC","ITA","Ferrari","25",1951
"25",3,"Jose Froilan
                    Gonzalez
                    GON","ARG","Ferrari","24",1951
"26",4,"Nino
                    Farina
                    FAR","ITA","Alfa Romeo","19",1951
"27",5,"Luigi 
                    Villoresi
                    VIL","ITA","Ferrari","15",1951
"28",6,"Piero 
                    Taruffi
                    TAR","ITA","Ferrari","10",1951
"29",7,"Lee
                    Wallard
                    WAL","USA","Kurtis Kraft Offenhauser","9",1951
"30",8,"Felice 
                    Bonetto
                    BON","ITA","Alfa Romeo","7",1951
"31",9,"Mike
                    Nazaruk
                    NAZ","USA","Kurtis Kraft Offenhauser","6",1951
"32",10,"Reg 
                    Parnell
                    PAR","GBR","BRM","5",1951
"33",11,"Luigi
                    Fagioli
                    FAG","ITA","Alfa Romeo","4",1951
"34",12,"Consalvo 
                    Sanesi
                    SAN","ITA","Alfa Romeo","3",1951
"35",12,"Andy
                    Linden
                    LIN","USA","Sherman Offenhauser","3",1951
"36",12,"Louis 
                    Rosier
                    ROS","FRA","null","3",1951
"37",15,"Toulo
                    de Graffenried
                    DEG","SUI","Alfa Romeo","2",1951
"38",15,"Manny
                    Ayulo
                    AYU","USA","Kurtis Kraft Offenhauser","2",1951
"39",15,"Bobby
                    Ball
                    BAL","USA","Schroeder Offenhauser","2",1951
"40",15,"Jack
                    McGrath
                    MCG","USA","Kurtis Kraft Offenhauser","2",1951
"41",15,"Yves Giraud
                    Cabantous
                    CAB","FRA","Talbot-Lago","2",1951
"42",1,"Alberto
                    Ascari
                    ASC","ITA","Ferrari","36",1952
"43",2,"Nino
                    Farina
                    FAR","ITA","Ferrari","24",1952
"44",3,"Piero 
                    Taruffi
                    TAR","ITA","Ferrari","22",1952
"45",4,"Rudi 
                    Fischer 
                    FIS","SUI","Ferrari","10",1952
"46",4,"Mike
                    Hawthorn
                    HAW","GBR","Cooper Bristol","10",1952
"47",6,"Robert 
                    Manzon
                    MAN","FRA","Gordini","9",1952
"48",7,"Troy
                    Ruttman
                    RUT","USA","Kuzma Offenhauser","8",1952
"49",7,"Luigi 
                    Villoresi
                    VIL","ITA","Ferrari","8",1952
"50",9,"Jose Froilan
                    Gonzalez
                    GON","ARG","Maserati","6.5",1952
"51",10,"Jim
                    Rathmann
                    RAT","USA","Kurtis Kraft Offenhauser","6",1952
"52",10,"Jean
                    Behra
                    BEH","FRA","Gordini","6",1952
"53",12,"Sam
                    Hanks
                    HAN","USA","Kurtis Kraft Offenhauser","4",1952
"54",13,"Ken 
                    Wharton
                    WHA","GBR","null","3",1952
"55",13,"Duane
                    Carter
                    CAR","USA","Lesovsky Offenhauser","3",1952
"56",13,"Dennis
                    Poore
                    POO","GBR","Connaught Lea Francis","3",1952
"57",16,"Alan
                    Brown
                    BRO","GBR","Cooper Bristol","2",1952
"58",16,"Art
                    Cross
                    CRO","USA","Kurtis Kraft Offenhauser","2",1952
"59",16,"Paul
                    Frere
                    FRE","BEL","Simca-Gordini","2",1952
"60",16,"Maurice 
                    Trintignant
                    TRI","FRA","Gordini","2",1952
"61",16,"Eric
                    Thompson
                    THO","GBR","Connaught Lea Francis","2",1952
"62",16,"Felice 
                    Bonetto
                    BON","ITA","Maserati","2",1952
"63",22,"Bill 
                    Vukovich 
                    VUK","USA","Kurtis Kraft Offenhauser","1",1952
"64",1,"Alberto
                    Ascari
                    ASC","ITA","Ferrari","34.5",1953
"65",2,"Juan Manuel
                    Fangio
                    FAN","ARG","Maserati","27.5",1953
"66",3,"Nino
                    Farina
                    FAR","ITA","Ferrari","26",1953
"67",4,"Mike
                    Hawthorn
                    HAW","GBR","Ferrari","19",1953
"68",5,"Luigi 
                    Villoresi
                    VIL","ITA","Ferrari","17",1953
"69",6,"Jose Froilan
                    Gonzalez
                    GON","ARG","Maserati","13.5",1953
"70",7,"Bill 
                    Vukovich 
                    VUK","USA","Kurtis Kraft Offenhauser","9",1953
