lapNo,No,gap,time,,,,,,,,,,,,
1,44,0,1:15.725,,,,,,,,,,,,
1,22,0.664,1:16.389,,,,,,,,,,,,
1,7,1.312,1:17.037,,,,,,,,,,,,
1,27,1.722,1:17.447,,,,,,,,,,,,
1,6,2.364,1:18.089,,,,,,,,,,,,
1,3,2.763,1:18.488,,,,,,,,,,,,
1,33,3.068,1:18.793,,,,,,,,,,,,
1,5,3.473,1:19.198,,,,,,,,,,,,
1,77,3.882,1:19.607,,,,,,,,,,,,
1,55,4.473,1:20.198,,,,,,,,,,,,
1,11,5.131,1:20.856,,,,,,,,,,,,
1,94,5.570,1:21.295,,,,,,,,,,,,
1,8,6.029,1:21.754,,,,,,,,,,,,
1,14,6.221,1:21.946,,,,,,,,,,,,
1,20,6.640,1:22.365,,,,,,,,,,,,
1,30,6.825,1:22.550,,,,,,,,,,,,
1,9,7.193,1:22.918,,,,,,,,,,,,
1,21,7.839,1:23.564,,,,,,,,,,,,
1,12,8.138,1:23.863,,,,,,,,,,,,
1,88,9.030,1:24.755,,,,,,,,,,,,
1,19,9.331,1:25.056,,,,,,,,,,,,
1,26,10.606,1:26.331,,,,,,,,,,,,
2,44,0,1:11.825,,,,,,,,,,,,
2,22,1.313,1:12.474,,,,,,,,,,,,
2,7,2.031,1:12.544,,,,,,,,,,,,
2,27,2.842,1:12.945,,,,,,,,,,,,
2,6,3.536,1:12.997,,,,,,,,,,,,
2,33,4.477,1:13.234,,,,,,,,,,,,
2,3,4.683,1:13.745,,,,,,,,,,,,
2,5,4.955,1:13.307,,,,,,,,,,,,
2,77,5.578,1:13.521,,,,,,,,,,,,
2,55,6.151,1:13.503,,,,,,,,,,,,
2,11,6.740,1:13.434,,,,,,,,,,,,
2,94,7.360,1:13.615,,,,,,,,,,,,
2,14,7.920,1:13.524,,,,,,,,,,,,
2,8,8.657,1:14.453,,,,,,,,,,,,
2,20,9.027,1:14.212,,,,,,,,,,,,
2,30,9.771,1:14.771,,,,,,,,,,,,
2,9,10.630,1:15.262,,,,,,,,,,,,
2,21,11.165,1:15.151,,,,,,,,,,,,
2,19,11.769,1:14.263,,,,,,,,,,,,
2,12,12.294,1:15.981,,,,,,,,,,,,
2,88,12.779,1:15.574,,,,,,,,,,,,
2,26,17.083,1:18.302,,,,,,,,,,,,
3,44,0,1:11.885,,,,,,,,,,,,
3,22,1.982,1:12.554,,,,,,,,,,,,
3,7,2.451,1:12.305,,,,,,,,,,,,
3,27,3.422,1:12.465,,,,,,,,,,,,
3,6,4.535,1:12.884,,,,,,,,,,,,
3,33,5.017,1:12.425,,,,,,,,,,,,
3,3,5.429,1:12.631,,,,,,,,,,,,
3,5,5.888,1:12.818,,,,,,,,,,,,
3,77,6.572,1:12.879,,,,,,,,,,,,
3,55,6.970,1:12.704,,,,,,,,,,,,
3,11,7.603,1:12.748,,,,,,,,,,,,
3,94,8.344,1:12.869,,,,,,,,,,,,
3,14,9.168,1:13.133,,,,,,,,,,,,
3,8,9.815,1:13.043,,,,,,,,,,,,
3,20,10.180,1:13.038,,,,,,,,,,,,
3,30,10.766,1:12.880,,,,,,,,,,,,
3,9,11.871,1:13.126,,,,,,,,,,,,
3,21,12.384,1:13.104,,,,,,,,,,,,
3,19,12.842,1:12.958,,,,,,,,,,,,
3,12,13.689,1:13.280,,,,,,,,,,,,
3,88,14.917,1:14.023,,,,,,,,,,,,
4,44,0,1:11.774,,,,,,,,,,,,
4,22,2.225,1:12.017,,,,,,,,,,,,
4,7,2.701,1:12.024,,,,,,,,,,,,
