lapNo	pit	time	No	name								
1 P	1	10:05:27	3	D. RICCIARDO								
2	0	14:23.265	3	D. RICCIARDO								
3	0	1:09.891	3	D. RICCIARDO								
4	0	1:29.200	3	D. RICCIARDO								
5	0	1:27.607	3	D. RICCIARDO								
6	0	1:09.380	3	D. RICCIARDO								
7 P	1	1:36.502	3	D. RICCIARDO								
8	0	1:45.216	3	D. RICCIARDO								
9	0	1:09.114	3	D. RICCIARDO								
10	0	1:22.449	3	D. RICCIARDO								
11	0	1:08.889	3	D. RICCIARDO								
12	0	1:24.136	3	D. RICCIARDO								
13	0	1:11.471	3	D. RICCIARDO								
14	0	1:25.016	3	D. RICCIARDO								
15 P	1	1:16.850	3	D. RICCIARDO								
16	0	27:08.355	3	D. RICCIARDO								
17	0	1:14.927	3	D. RICCIARDO								
18	0	1:20.570	3	D. RICCIARDO								
19	0	1:08.792	3	D. RICCIARDO								
20	0	1:20.807	3	D. RICCIARDO								
21	0	1:08.603	3	D. RICCIARDO								
22	0	1:20.497	3	D. RICCIARDO								
23	0	1:08.528	3	D. RICCIARDO								
24 P	1	1:19.385	3	D. RICCIARDO								
25	0	6:34.937	3	D. RICCIARDO								
26	0	1:11.023	3	D. RICCIARDO								
27	0	1:11.247	3	D. RICCIARDO								
28	0	1:11.223	3	D. RICCIARDO								
29	0	1:12.529	3	D. RICCIARDO								
30	0	1:26.734	3	D. RICCIARDO								
31	0	1:11.749	3	D. RICCIARDO								
32	0	1:11.989	3	D. RICCIARDO								
33	0	1:11.840	3	D. RICCIARDO								
34	0	2:06.719	3	D. RICCIARDO								
35 P	1	1:59.736	3	D. RICCIARDO								
1 P	1	10:12:50	5	S. VETTEL								
2	0	8:14.930	5	S. VETTEL								
3	0	1:10.662	5	S. VETTEL								
4	0	1:09.403	5	S. VETTEL								
5	0	1:12.399	5	S. VETTEL								
6	0	1:09.068	5	S. VETTEL								
7	0	1:30.657	5	S. VETTEL								
8	0	1:15.315	5	S. VETTEL								
9	0	1:08.915	5	S. VETTEL								
10	0	1:13.420	5	S. VETTEL								
11	0	1:09.696	5	S. VETTEL								
12	0	1:12.785	5	S. VETTEL								
13 P	1	1:17.474	5	S. VETTEL								
14 P	1	2:04.385	5	S. VETTEL								
15	0	24:28.621	5	S. VETTEL								
16	0	1:32.934	5	S. VETTEL								
17	0	1:12.475	5	S. VETTEL								
18	0	1:08.022	5	S. VETTEL								
19	0	1:15.750	5	S. VETTEL								
20	0	1:09.279	5	S. VETTEL								
21 P	1	1:28.184	5	S. VETTEL								
22	0	16:06.572	5	S. VETTEL								
23	0	1:12.486	5	S. VETTEL								
24	0	1:08.364	5	S. VETTEL								
25	0	1:27.122	5	S. VETTEL								
26	0	1:12.391	5	S. VETTEL								
27	0	1:25.590	5	S. VETTEL								
28 P	1	2:02.405	5	S. VETTEL								
1	0	10:16:28	6	N. ROSBERG								
2	0	1:10.649	6	N. ROSBERG								
3	0	1:17.445	6	N. ROSBERG								
4	0	1:09.154	6	N. ROSBERG								
5	0	1:29.220	6	N. ROSBERG								
6	0	1:11.344	6	N. ROSBERG								
7	0	1:28.721	6	N. ROSBERG								
8	0	1:08.166	6	N. ROSBERG								
9	0	1:30.629	6	N. ROSBERG								
10	0	1:21.199	6	N. ROSBERG								
11	0	1:08.581	6	N. ROSBERG								
12 P	1	1:17.049	6	N. ROSBERG								
13 P	1	2:03.250	6	N. ROSBERG								
14 P	1	2:09.865	6	N. ROSBERG								
15	0	15:36.30	6	N. ROSBERG						
16	0	1:07.644	6	N. ROSBERG								
17	0	1:46.575	6	N. ROSBERG								
18	0	01:26.70	6	N. ROSBERG								
19	0	01:07.40	6	N. ROSBERG								
20	0	1:50.911	6	N. ROSBERG								
21	0	1:42.171	6	N. ROSBERG								
22 P	1	1:30.618	6	N. ROSBERG								
23	0	8:00.218	6	N. ROSBERG								
24	0	1:07.702	6	N. ROSBERG								
25 P	1	1:19.832	6	N. ROSBERG								
26 P	1	6:06.742	6	N. ROSBERG								
27	0	2:01.909	6	N. ROSBERG								
28	0	1:10.422	6	N. ROSBERG								
29	0	1:10.442	6	N. ROSBERG								
30	0	1:11.015	6	N. ROSBERG								
31	0	1:12.468	6	N. ROSBERG								
32	0	1:16.566	6	N. ROSBERG								
33	0	1:19.374	6	N. ROSBERG								
34 P	1	1:17.903	6	N. ROSBERG								
35	0	2:23.524	6	N. ROSBERG								
36	0	1:51.256	6	N. ROSBERG								
37 P	1	1:56.733	6	N. ROSBERG								
1 P	1	10:01:51	7	K. RAIKKONEN								
2	0	"
18:13.660"	7	K. RAIKKONEN								
3	0	1:10.056	7	K. RAIKKONEN								
"4
"	0	"1:22.935
"	7	K. RAIKKONEN								
"
5
"	0	"
1:13.747
"	7	K. RAIKKONEN								
"
6"	0	"
1:11.869"	7	K. RAIKKONEN								
7	0	1:26.888	7	K. RAIKKONEN								
8	0	1:21.236	7	K. RAIKKONEN								
9	0	1:09.442	7	K. RAIKKONEN								
10	0	1:09.569	7	K. RAIKKONEN								
11 P	1	1:25.890	7	K. RAIKKONEN								
12 P	1	1:59.401	7	K. RAIKKONEN								
13	0	25:49.678	7	K. RAIKKONEN								
14	0	1:32.209	7	K. RAIKKONEN								
15	0	1:36.148	7	K. RAIKKONEN								
16	0	1:14.515	7	K. RAIKKONEN								
"17
"	0	"1:08.222
"	7	K. RAIKKONEN								
"
18"	0	"
1:13.379"	7	K. RAIKKONEN								
19	0	1:14.525	7	K. RAIKKONEN								
"20
"	0	"1:11.047
"	7	K. RAIKKONEN								
"
21 P
"	1	"
1:30.524
"	7	K. RAIKKONEN								
"
22 P"	1	"
1:51.077"	7	K. RAIKKONEN								
23	0	11:59.386	7	K. RAIKKONEN								
24	0	1:09.529	7	K. RAIKKONEN								
25	0	1:10.202	7	K. RAIKKONEN								
26	0	1:12.291	7	K. RAIKKONEN								
27	0	1:10.486	7	K. RAIKKONEN								
28	0	1:18.810	7	K. RAIKKONEN								
29	0	1:12.410	7	K. RAIKKONEN								
30	0	2:16.377	7	K. RAIKKONEN								
31 P	1	1:47.067	7	K. RAIKKONEN								
1 P	1	10:03:19	8	R. GROSJEAN								
"
2"	0	"
14:12.650"	8	R. GROSJEAN								
3	0	1:14.313	8	R. GROSJEAN								
"4
"	0	"1:11.959
"	8	R. GROSJEAN								
"
5
"	0	"
1:12.925
"	8	R. GROSJEAN								
"
6"	0	"
1:17.190"	8	R. GROSJEAN								
7	0	1:16.541	8	R. GROSJEAN								
8	0	1:10.955	8	R. GROSJEAN								
9	0	2:31.593	8	R. GROSJEAN								
10	0	1:14.370	8	R. GROSJEAN								
11	0	1:10.691	8	R. GROSJEAN								
12	0	1:11.779	8	R. GROSJEAN								
13 P	1	1:23.908	8	R. GROSJEAN								
14	0	26:05.442	8	R. GROSJEAN								
15	0	1:18.293	8	R. GROSJEAN								
16	0	1:40.551	8	R. GROSJEAN								
17	0	1:30.369	8	R. GROSJEAN								
"18
"	0	"1:09.947
"	8	R. GROSJEAN								
"
19"	0	"
1:16.253"	8	R. GROSJEAN								
20	0	1:16.406	8	R. GROSJEAN								
"21
"	0	"1:14.074
"	8	R. GROSJEAN								
"
22
"	0	"
1:10.160
"	8	R. GROSJEAN								
"
23"	0	"
1:16.970"	8	R. GROSJEAN								
24	0	1:09.516	8	R. GROSJEAN								
25	0	1:10.346	8	R. GROSJEAN								
26 P	1	1:23.686	8	R. GROSJEAN								
27	0	9:40.926	8	R. GROSJEAN								
28	0	1:20.605	8	R. GROSJEAN								
29	0	1:20.729	8	R. GROSJEAN								
30	0	1:09.537	8	R. GROSJEAN								
31	0	1:18.175	8	R. GROSJEAN								
32	0	1:09.078	8	R. GROSJEAN								
33	0	1:37.695	8	R. GROSJEAN								
34 P	1	1:54.179	8	R. GROSJEAN								
1 P	1	10:02:54	9	M. ERICSSON								
"
2"	0	"
14:01.319"	9	M. ERICSSON								
3	0	1:15.498	9	M. ERICSSON								
"4
"	0	"1:13.082
"	9	M. ERICSSON								
"
5
"	0	"
1:12.892
"	9	M. ERICSSON								
"
6"	0	"
1:12.576"	9	M. ERICSSON								
7	0	1:17.770	9	M. ERICSSON								
8	0	1:11.723	9	M. ERICSSON								
9	0	1:11.246	9	M. ERICSSON								
10 P	1	1:32.751	9	M. ERICSSON								
11	0	1:33.245	9	M. ERICSSON								
12	0	1:19.166	9	M. ERICSSON								
13	0	1:12.491	9	M. ERICSSON								
14	0	1:11.169	9	M. ERICSSON								
15	0	1:11.367	9	M. ERICSSON								
16 P	1	1:20.279	9	M. ERICSSON								
"17
"	0	"35:22.655
"	9	M. ERICSSON								
"
18"	0	"
1:20.143"	9	M. ERICSSON								
"19
"	0	"1:10.831
"	9	M. ERICSSON								
"
20"	0	"
1:20.614"	9	M. ERICSSON								
21	0	1:10.503	9	M. ERICSSON								
"22
"	0	"1:17.852
"	9	M. ERICSSON								
"
23
"	0	"
1:10.507
"	9	M. ERICSSON								
"
24"	0	"
1:23.444"	9	M. ERICSSON								
25	0	1:09.929	9	M. ERICSSON								
26	0	1:23.585	9	M. ERICSSON								
27	0	1:10.656	9	M. ERICSSON								
28	0	1:25.615	9	M. ERICSSON								
29	0	1:09.952	9	M. ERICSSON								
30	0	1:22.864	9	M. ERICSSON								
31	0	1:11.956	9	M. ERICSSON								
32	0	1:21.565	9	M. ERICSSON								
33	0	1:10.762	9	M. ERICSSON								
34	0	1:47.672	9	M. ERICSSON								
35 P	1	1:53.833	9	M. ERICSSON								
1 P	1	10:01:54	12	F. NASR								
2	0	18:59.955	12	F. NASR								
3	0	1:13.592	12	F. NASR								
4	0	1:12.738	12	F. NASR								
5	0	1:11.766	12	F. NASR								
6	0	1:18.960	12	F. NASR								
7	0	1:32.775	12	F. NASR								
8	0	1:15.085	12	F. NASR								
9	0	1:11.623	12	F. NASR								
10	0	1:15.419	12	F. NASR								
11	0	1:10.926	12	F. NASR								
12	0	1:18.914	12	F. NASR								
13	0	1:10.561	12	F. NASR								
14 P	1	1:20.427	12	F. NASR								
15 P	1	1:52.180	12	F. NASR								
16	0	41:22.608	12	F. NASR								
17	0	1:10.314	12	F. NASR								
18	0	1:16.401	12	F. NASR								
19	0	1:10.606	12	F. NASR								
20	0	1:15.176	12	F. NASR								
21	0	1:25.601	12	F. NASR								
22	0	1:10.659	12	F. NASR								
23 P	1	1:25.583	12	F. NASR								
24	0	1:49.598	12	F. NASR								
25	0	1:32.582	12	F. NASR								
26 P	1	1:58.159	12	F. NASR								
1 P	1	10:03:11	14	F. ALONSO								
2 P	1	2:24.096	14	F. ALONSO								
3	0	12:09.354	14	F. ALONSO								
4	0	1:11.606	14	F. ALONSO								
5 P	1	1:26.478	14	F. ALONSO								
6	0	1:39.562	14	F. ALONSO								
7	0	1:10.679	14	F. ALONSO								
8	0	1:18.247	14	F. ALONSO								
9	0	1:10.516	14	F. ALONSO								
10 P	1	1:36.551	14	F. ALONSO								
11	0	33:28.587	14	F. ALONSO								
12	0	1:42.560	14	F. ALONSO								
13	0	1:14.062	14	F. ALONSO								
14	0	1:15.804	14	F. ALONSO								
15	0	1:10.706	14	F. ALONSO								
16	0	1:18.991	14	F. ALONSO								
17	0	1:09.567	14	F. ALONSO								
18	0	1:20.529	14	F. ALONSO								
19	0	1:09.681	14	F. ALONSO								
20 P	1	1:31.890	14	F. ALONSO								
21	0	9:45.754	14	F. ALONSO								
22	0	1:12.416	14	F. ALONSO								
23	0	1:12.265	14	F. ALONSO								
24	0	1:12.118	14	F. ALONSO								
25	0	1:12.260	14	F. ALONSO								
26	0	1:12.266	14	F. ALONSO								
27	0	1:11.912	14	F. ALONSO								
28	0	1:11.586	14	F. ALONSO								
29	0	1:40.997	14	F. ALONSO								
30 P	1	1:48.978	14	F. ALONSO								
1 P	11	10:02:16	19	F. MASSA								
2	0	14:23.602	19	F. MASSA								
3	0	1:11.017	19	F. MASSA								
4	0	1:14.900	19	F. MASSA								
5	0	1:10.673	19	F. MASSA								
6	0	1:10.132	19	F. MASSA								
7	0	1:23.701	19	F. MASSA								
8	0	1:10.175	19	F. MASSA								
9	0	1:13.854	19	F. MASSA								
10	0	1:27.660	19	F. MASSA								
11	0	1:21.798	19	F. MASSA								
12	0	1:10.285	19	F. MASSA								
13	0	1:16.643	19	F. MASSA								
14	0	1:10.126	19	F. MASSA								
15 P	1	1:18.177	19	F. MASSA								
16 P	1	1:38.972	19	F. MASSA								
17	0	17:25.460	19	F. MASSA								
18	0	1:09.336	19	F. MASSA								
19	0	1:22.515	19	F. MASSA								
20	0	1:18.490	19	F. MASSA								
21	0	1:08.824	19	F. MASSA								
22	0	1:19.895	19	F. MASSA								
23	0	1:09.103	19	F. MASSA								
24 P	1	1:38.334	19	F. MASSA								
25 P	1	1:41.831	19	F. MASSA								
26	0	14:16.185	19	F. MASSA								
27	0	1:11.236	19	F. MASSA								
28	0	1:11.319	19	F. MASSA								
29	0	1:11.440	19	F. MASSA								
30	0	1:11.880	19	F. MASSA								
31	0	1:11.860	19	F. MASSA								
32	0	1:12.451	19	F. MASSA								
33	0	1:15.708	19	F. MASSA								
34	0	1:13.465	19	F. MASSA								
35	0	1:12.968	19	F. MASSA								
36	0	1:12.920	19	F. MASSA								
37	0	1:13.425	19	F. MASSA								
38	0	1:36.852	19	F. MASSA								
39 P	1	1:42.903	19	F. MASSA								
1 P	1	10:01:59	20	K. MAGNUSSEN								
2 P	1	2:13.048	20	K. MAGNUSSEN								
3	0	23:09.826	20	K. MAGNUSSEN								
4	0	1:21.724	20	K. MAGNUSSEN								
5	0	1:12.258	20	K. MAGNUSSEN								
6	0	1:11.843	20	K. MAGNUSSEN								
7	0	1:16.240	20	K. MAGNUSSEN								
8	0	1:10.385	20	K. MAGNUSSEN								
9	0	1:10.753	20	K. MAGNUSSEN								
10	0	1:10.711	20	K. MAGNUSSEN								
11	0	1:11.451	20	K. MAGNUSSEN								
12	0	1:22.246	20	K. MAGNUSSEN								
13 P	1	1:17.828	20	K. MAGNUSSEN								
14	0	27:15.026	20	K. MAGNUSSEN								
15	0	1:09.815	20	K. MAGNUSSEN								
16	0	1:09.879	20	K. MAGNUSSEN								
17 P	1	1:20.993	20	K. MAGNUSSEN								
18	0	1:56.084	20	K. MAGNUSSEN								
19	0	1:11.143	20	K. MAGNUSSEN								
20	0	1:09.707	20	K. MAGNUSSEN								
21 P	1	1:22.863	20	K. MAGNUSSEN								
22	0	14:16.222	20	K. MAGNUSSEN								
23	0	1:40.318	20	K. MAGNUSSEN								
24 P	1	1:51.827	20	K. MAGNUSSEN								
1 P	1	10:02:21	21	E. GUTIERREZ								
2	0	22:56.633	21	E. GUTIERREZ								
3	0	1:27.429	21	E. GUTIERREZ								
4	0	1:22.938	21	E. GUTIERREZ								
5	0	1:12.784	21	E. GUTIERREZ								
6	0	1:11.910	21	E. GUTIERREZ								
7	0	1:15.991	21	E. GUTIERREZ								
8	0	1:10.899	21	E. GUTIERREZ								
9	0	1:18.769	21	E. GUTIERREZ								
10	0	1:10.478	21	E. GUTIERREZ								
