lapNo	pit	time	No	name								
1	0	14:10:35	3	D. RICCIARDO								
2	0	1:07.824	3	D. RICCIARDO								
3	0	1:24.580	3	D. RICCIARDO								
4	0	1:07.500	3	D. RICCIARDO								
5	1	1:25.712	3	D. RICCIARDO								
6	0	27:28.228	3	D. RICCIARDO								
7	0	"1:06.908
"	3	D. RICCIARDO								
8	1	"
1:24.505
"	3	D. RICCIARDO								
"
9
"	0	"
2:17.442
"	3	D. RICCIARDO								
"
10"	0	"
1:06.840"	3	D. RICCIARDO								
11	1	1:36.738	3	D. RICCIARDO								
12	0	15:27.911	3	D. RICCIARDO								
13	0	1:21.954	3	D. RICCIARDO								
14	0	1:19.217	3	D. RICCIARDO								
15	0	1:17.364	3	D. RICCIARDO								
16	0	1:17.136	3	D. RICCIARDO								
"17 
"	1	"1:22.416
"	3	D. RICCIARDO								
"
18
"	0	"
2:46.266
"	3	D. RICCIARDO								
"
19
"	0	"
1:09.980
"	3	D. RICCIARDO								
"
20"	1	"
1:36.639"	3	D. RICCIARDO								
1	0	14:08:31	5	S. VETTEL								
2	0	1:07.030	5	S. VETTEL								
3	0	1:28.057	5	S. VETTEL								
4	0	1:06.761	5	S. VETTEL								
5	1	1:20.032	5	S. VETTEL								
6	0	30:17.449	5	S. VETTEL								
"7
"	0	"1:06.602
"	5	S. VETTEL								
"
8
"	1	"
1:36.814
"	5	S. VETTEL								
"
9"	0	"
18:55.897"	5	S. VETTEL								
10	0	1:20.798	5	S. VETTEL								
11	0	1:20.751	5	S. VETTEL								
12	0	1:19.665	5	S. VETTEL								
13	0	1:18.762	5	S. VETTEL								
14	1	1:23.707	5	S. VETTEL								
15	0	1:59.365	5	S. VETTEL								
"16
"	0	"1:14.986
"	5	S. VETTEL								
"
17
"	0	"
1:09.781
"	5	S. VETTEL								
"
18"	1	"
1:33.735"	5	S. VETTEL								
1	0	14:09:56	6	N. ROSBERG								
2	0	1:06.690	6	N. ROSBERG								
3	0	1:38.951	6	N. ROSBERG								
4	0	1:22.323	6	N. ROSBERG								
5	0	1:06.516	6	N. ROSBERG								
6	0	27:06.713	6	N. ROSBERG								
"7
"	0	"1:06.403
"	6	N. ROSBERG								
"
8
"	1	"
1:36.109
"	6	N. ROSBERG								
"
9"	1	"
6:58.899"	6	N. ROSBERG								
10	0	13:41.500	6	N. ROSBERG								
11	0	1:33.079	6	N. ROSBERG								
12	0	1:19.548	6	N. ROSBERG								
13	0	1:22.943	6	N. ROSBERG								
14	0	1:17.282	6	N. ROSBERG								
15	1	1:25.218	6	N. ROSBERG								
"16
"	0	"1:59.610
"	6	N. ROSBERG								
"
17
"	0	"
1:11.554
"	6	N. ROSBERG								
"
18"	0	"
1:08.465"	6	N. ROSBERG								
1	0	14:07:50	7	K. RAIKKONEN								
2	0	1:07.250	7	K. RAIKKONEN								
"3
"	0	"1:24.401
"	7	K. RAIKKONEN								
"
4"	0	"
1:07.240"	7	K. RAIKKONEN								
5	1	1:20.572	7	K. RAIKKONEN								
6	0	30:29.123	7	K. RAIKKONEN								
7	0	1:06.940	7	K. RAIKKONEN								
8	1	1:19.650	7	K. RAIKKONEN								
9	0	2:39.968	7	K. RAIKKONEN								
10	0	1:09.788	7	K. RAIKKONEN								
11	1	1:26.553	7	K. RAIKKONEN								
12	0	14:32.680	7	K. RAIKKONEN								
13	0	1:27.501	7	K. RAIKKONEN								
"14
"	0	"1:20.593
"	7	K. RAIKKONEN								
"
15"	0	"
1:19.854"	7	K. RAIKKONEN								
16	0	1:17.995	7	K. RAIKKONEN								
17	1	1:22.928	7	K. RAIKKONEN								
18	0	1:53.597	7	K. RAIKKONEN								
19	0	1:13.613	7	K. RAIKKONEN								
20	0	1:09.901	7	K. RAIKKONEN								
21	1	1:34.324	7	K. RAIKKONEN								
1	0	14:03:05	8	R. GROSJEAN								
2	0	1:09.324	8	R. GROSJEAN								
"3
"	0	"1:28.187
"	8	R. GROSJEAN								
"
4"	0	"
1:08.461"	8	R. GROSJEAN								
5	0	1:25.851	8	R. GROSJEAN								
6	0	1:08.185	8	R. GROSJEAN								
7	1	1:21.113	8	R. GROSJEAN								
8	0	3:48.564	8	R. GROSJEAN								
9	0	1:07.662	8	R. GROSJEAN								
10	0	18:06.075	8	R. GROSJEAN								
11	1	1:42.588	8	R. GROSJEAN								
12	0	"7:52.358
"	8	R. GROSJEAN								
13	1	"
1:26.455"	8	R. GROSJEAN								
14	0	4:13.300	8	R. GROSJEAN								
15	0	1:08.117	8	R. GROSJEAN								
16	0	1:19.101	8	R. GROSJEAN								
17	0	1:07.850	8	R. GROSJEAN								
18	1	1:44.329	8	R. GROSJEAN								
